 # id,msink,x,y,z,vx,vy,vz
 # 1,m,l,l,l,l t**-1,l t**-1,l t**-1
1,3.11056,8.2424439942E-03,1.0527735042E-02,9.5529465495E-03,4.6106500239E+01,-1.3010563795E+01,1.1422420534E+00
2,3.10792,1.0898585281E-02,8.6119678511E-03,9.5529033825E-03,-4.6960574699E+01,1.2628304626E+01,1.1699911099E+00
