 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       3.507         3.510         3.513         0.002         0.001     0.4     5   1    coarse levels           
      19.090        40.040       121.797        37.463         0.936     4.2     4   7    refine                  
      29.280        29.350        29.618         0.123         0.004     3.1     3   1    load balance            
      44.865        44.967        45.071         0.077         0.002     4.7     6  10    sinks                   
       1.035         1.601         3.714         0.966         0.603     0.2     6   1    particles               
     131.750       133.046       133.470         0.593         0.004    13.8     1   4    poisson                 
       8.926        10.550        11.652         0.892         0.085     1.1     7   3    rho                     
       3.626         4.025         5.398         0.622         0.155     0.4     4   1    courant                 
       3.128         3.888         4.259         0.348         0.090     0.4     1  12    hydro - set unew        
     343.166       358.877       373.496         9.213         0.026    37.3     3  12    hydro - godunov         
     216.296       291.054       326.349        35.758         0.123    30.3     7   3    hydro - rev ghostzones  
       2.978         3.212         3.434         0.162         0.050     0.3     3   8    hydro - set uold        
       1.056         1.218         1.364         0.115         0.094     0.1    11  12    hydro upload fine       
       1.109         1.140         1.178         0.017         0.015     0.1     1  12    cooling                 
      13.094        17.224        18.380         1.829         0.106     1.8     7   3    hydro - ghostzones      
      16.892        16.958        17.019         0.054         0.003     1.8     8   6    flag                    
     960.907     100.0    TOTAL
